UKB Entry	SNOMED CT ID	SNOMED CT CONCEPT ID	SNOMED CT DESCRIPTION
viraferonpeg 120mcg pdr+solv for soln for inj prefilled pen	7551601000001112	3834001000001109	ViraferonPeg 120micrograms injection (pdr for recon)+solvent
viraferonpeg 150mcg pdr+solv for soln for inj prefilled pen	7584801000001115	3871801000001101	ViraferonPeg 150micrograms injection (pdr for recon)+solvent
viraferonpeg 50mcg pdr+solv for soln for inj prefilled pen	75474001000001117	22754211000001107	ViraferonPeg 50microgram powder and solvent for solution for injection pre-filled disposable devices CLEARCLICK (Merck Sharp & Dohme Ltd)
viraferonpeg 80mcg pdr+solv for soln for inj prefilled pen	75474201000001111	22754411000001106	ViraferonPeg 80microgram powder and solvent for solution for injection pre-filled disposable devices CLEARCLICK (Merck Sharp & Dohme Ltd)
vitamin e product [ctsu]	77331801000001115	23652011000001106	Valupak Plus Vitamin E 400unit capsules (BR Pharmaceuticals Ltd)
5asa - mesalazine	507341012	86977007	5asa - mesalazine
5fu - fluorouracil	1227463010	3127006	5fu - fluorouracil
6mp - mercaptopurine	1219037015	1039008	6mp - mercaptopurine
abacavir+lamivudine+zidovudine	216313015	134571004	abacavir+lamivudine+zidovudine
acebutolol+hydrochlorothiazide 200mg/12.5mg tablet	462392010	318586009	acebutolol+hydrochlorothiazide 200mg/12.5mg tablet
acetaminophen	149729019	90332006	acetaminophen
acetylsalicylic acid	14145015	7947003	acetylsalicylic acid
acrosoxacin	1235959015	96093003	acrosoxacin
acyclovir	68714019	41193000	acyclovir
adh - vasopressin	501858019	71338005	adh - vasopressin
adrenaline eye drops	471900016	349936005	adrenaline eye drops
adrenaline product	472796011	354037007	adrenaline product
alcoholic coal tar extract 5% shampoo	468876018	332721001	alcoholic coal tar extract 5% shampoo
aldadiene potassium	462148017	318053000	aldadiene potassium
alpha methyldopa	505907011	84078002	alpha methyldopa
alpha tocopheryl acetate 50iu/g cream	468463017	331507003	alpha tocopheryl acetate 50iu/g cream
alpha tocopheryl product	472239019	350546004	alpha tocopheryl product
alpha tocopheryl succinate	470471018	346314004	alpha tocopheryl succinate
aluminium acetate 0.65% lotion	469049011	333169003	aluminium acetate 0.65% lotion
aluminium chloride 20% roll-on application	471318014	348224003	aluminium chloride 20% roll-on application
aluminium chloride 20% roll-on solution	471321011	348228000	aluminium chloride 20% roll-on solution
aluminium hydroxide product	1216969014	80399002	aluminium hydroxide product
aluminium hydroxide+belladonna mixture	461676012	317090001	aluminium hydroxide+belladonna mixture
alverine citrate+sterculia 0.5%/62% granules	461707010	317147004	alverine citrate+sterculia 0.5%/62% granules
ambutonium bromide	461675011	317088002	ambutonium bromide
amfebutamone	464963017	323344001	amfebutamone
amidine	1231031011	51758009	amidine
amiloride hydrochloride+bumetanide 5mg/1mg tablet	462161017	318097001	amiloride hydrochloride+bumetanide 5mg/1mg tablet
aminazine	494804015	47331002	aminazine
amipramizide	1235231013	87395005	amipramizide
amitriptyline hydrochloride+perphenazine 10mg/2mg tablet	464085014	321930007	amitriptyline hydrochloride+perphenazine 10mg/2mg tablet
ammonia+ipecacuanha mixture	463578012	320986004	ammonia+ipecacuanha mixture
ammonium chloride mixture	466465019	326605005	ammonium chloride mixture
ammonium chloride+morphine mixture	463579016	320987008	ammonium chloride+morphine mixture
amodiaquine	1232529011	64115004	amodiaquine
amoxicillin product	2476097018	27658006	amoxicillin product
amoxycillin	46294016	27658006	amoxycillin
amoxycillin product	1225481014	27658006	amoxycillin product
amphotericin	472812018	354049008	amphotericin
amylobarbitone	122484016	73756003	amylobarbitone
amylobarbitone sodium	498942018	61123001	amylobarbitone sodium
androstanazol	1232813013	66602007	androstanazol
angiotensin ii receptor antagonist+diuretic	472978014	356642001	angiotensin ii receptor antagonist+diuretic
antacid liquid	471745012	349789004	antacid liquid
antacid tablet	471746013	349793005	antacid tablet
anthralin	89418016	53800008	anthralin
antidiuretic hormone-vasopressin	501857012	71338005	antidiuretic hormone-vasopressin
antiemetic	86585010	52017007	antiemetic
antihypertensive	443235013	1182007	antihypertensive
antiplatelet drug	1219451010	108972005	antiplatelet drug
antrapurol	1232739015	65884003	antrapurol
apressinum	1222953015	22696000	apressinum
arachis oil retention enema	461971017	317635009	arachis oil retention enema
aromatic chalk + opium mixture	461822014	317381000	aromatic chalk + opium mixture
artemether+lumefantrine	1488961014	395268004	artemether+lumefantrine
artificial saliva	470488013	346328005	artificial saliva
ascorbic acid product	1230303017	46123006	ascorbic acid product
aspirin 75mg tablet	462889017	319775004	aspirin 75mg tablet
aspirin+codeine	470490014	346329002	aspirin+codeine
aspirin+codeine 300mg/8mg tablet	471364016	348417002	aspirin+codeine 300mg/8mg tablet
aspirin+glycine 500mg/133mg dispersible tablet	470882015	347070003	aspirin+glycine 500mg/133mg dispersible tablet
aspirin+papaveretum 500mg/7.71mg dispersible tablet	464335013	322321008	aspirin+papaveretum 500mg/7.71mg dispersible tablet
atebrine	465648012	324949007	atebrine
atenolol+bendrofluazide	472958018	356519002	atenolol+bendrofluazide
atenolol+bendroflumethiazide	2536296018	356519002	atenolol+bendroflumethiazide
atenolol+chlortalidone	2476659019	354277005	atenolol+chlortalidone
atenolol+chlorthalidone	472859013	354277005	atenolol+chlorthalidone
atenolol+co-amilozide	472959014	356520008	atenolol+co-amilozide
atenolol+nifedipine 50mg/20mg m/r capsule	462394011	318588005	atenolol+nifedipine 50mg/20mg m/r capsule
atovaquone+proguanil hydrochloride	465633018	324930008	atovaquone+proguanil hydrochloride
azidothymidine	45946019	27479000	azidothymidine
azodisalicylic acid	1219417011	108673002	azodisalicylic acid
azt - azathioprine	1219606016	111165009	azt - azathioprine
azt - azidothymidine	1225367011	27479000	azt - azidothymidine
b12 - cyanocobalamin prep	1226732018	30010009	b12 - cyanocobalamin prep
b12 - hydroxocobalamin prep	466957012	327529002	b12 - hydroxocobalamin prep
baking soda	95429011	57376006	baking soda
bamethan sulphate	462718012	319412008	bamethan sulphate
beclometasone dipropionate+salbutamol	470495016	346338000	beclometasone dipropionate+salbutamol
beclomethasone	177226013	116574000	beclomethasone
beclomethasone dipropionate+salbutamol	470496015	346338000	beclomethasone dipropionate+salbutamol
belladonna paediatric 0.05mg/5ml liquid	461679017	317091002	belladonna paediatric 0.05mg/5ml liquid
bendrofluazide	151002014	91135008	bendrofluazide
bendrofluazide+potassium 2.5mg/7.7mmol m/r tablet	462183018	318166002	bendrofluazide+potassium 2.5mg/7.7mmol m/r tablet
benorylate	1228277012	354058001	benorylate
benzalkonium chloride+dimethicone 350 0.1/22% cream	468452015	331434003	benzalkonium chloride+dimethicone 350 0.1/22% cream
benzathine penicillin	465003012	323404007	benzathine penicillin
benzhexol	1222680013	2190009	benzhexol
benzocaine+menthol 100mg/3mg compound lozenge	470862019	346841002	benzocaine+menthol 100mg/3mg compound lozenge
benzoic acid product	1232455014	63318000	benzoic acid product
benzoic acid+salicylic acid 6%/3% cream	468930016	332854008	benzoic acid+salicylic acid 6%/3% cream
benzoin compound 4.5% tincture	505619018	83459002	benzoin compound 4.5% tincture
benzoxazocine	472142017	350324006	benzoxazocine
benzoyl peroxide product	472818019	354053005	benzoyl peroxide product
benzoyl peroxide+miconazole nitrate	470500018	346341009	benzoyl peroxide+miconazole nitrate
benztropine	128462012	77390008	benztropine
beta-adrenoceptor blocking drug	462279010	318350007	beta-adrenoceptor blocking drug
beta-blocker	485462018	33252009	beta-blocker
beta-carotene product	467467018	329507006	beta-carotene product
betamethasone+calcipotriol	1489112016	395435009	betamethasone+calcipotriol
betamethasone+clioquinol	470501019	346343007	betamethasone+clioquinol
betamethasone+clotrimazole	470502014	346344001	betamethasone+clotrimazole
betamethasone+fusidic acid	470503016	346345000	betamethasone+fusidic acid
betamethasone+neomycin sulphate	470504010	346346004	betamethasone+neomycin sulphate
betamethasone+salicylic acid	470506012	346347008	betamethasone+salicylic acid
bethanidine	472283011	350601007	bethanidine
bezafibrate product	462959013	319937007	bezafibrate product
bicarb	497864012	57376006	bicarb
bicarbonate of soda	497867017	57376006	bicarbonate of soda
biomycin	1231734011	57538001	biomycin
biosynthetic human growth hormone	466051011	325831003	biosynthetic human growth hormone
bismuth chelate	461745011	317256000	bismuth chelate
bromhexine hydrochloride	463532016	320927006	bromhexine hydrochloride
bromine complexes	468823011	332434001	bromine complexes
bronchilator inhaler	463253014	320438000	bronchilator inhaler
budesonide product	328657017	108622005	budesonide product
budesonide+eformoterol	216276017	134495000	budesonide+eformoterol
budesonide+formoterol	2535785015	134495000	budesonide+formoterol
bufexamac product	468660012	332124001	bufexamac product
bumetanide+potassium 500micrograms/7.7mmol m/r tablet	462182011	318165003	bumetanide+potassium 500micrograms/7.7mmol m/r tablet
buserelin product	466844015	327301004	buserelin product
busulphan	5383015	2571007	busulphan
butadione	1230588012	48351000	butadione
butamidum	1228043011	33124007	butamidum
butethal	470521018	346359007	butethal
butobarbitone	470520017	346359007	butobarbitone
butylscopolamine bromide	461693012	317114008	butylscopolamine bromide
butyrophenone product	1232651011	6517004	butyrophenone product
bzt - bendrofluazide	1235633016	91135008	bzt - bendrofluazide
calciferol	50497012	30178006	calciferol
calciferol 250micrograms tablet	467391011	329354006	calciferol 250micrograms tablet
calcitonin and salcatonin	466097013	325933004	calcitonin and salcatonin
calcitonin product	1222948013	22657006	calcitonin product
calcitriol product	1233019017	68206008	calcitriol product
calcium polystyrene sulphonate product	470523015	346361003	calcium polystyrene sulphonate product
calcium salts	467289017	329140009	calcium salts
calcium+ergocalciferol tablet	471367011	348422002	calcium+ergocalciferol tablet
calcium+vitamin d 500units tablet	467393014	329355007	calcium+vitamin d 500units tablet
canrenoate potassium	462147010	318053000	canrenoate potassium
carbamazepine product	492797014	40820003	carbamazepine product
carbomers	468151017	330811006	carbomers
carnitine products	467454016	329486002	carnitine products
ccnu - lomustine	492859015	40999006	ccnu - lomustine
cdca - chenodeoxycholic acid	1234711015	82490009	cdca - chenodeoxycholic acid
cefaclor product	1230710014	4937008	cefaclor product
cefotaxime product	1228066012	3334000	cefotaxime product
cefradine product	2475518010	16791000	cefradine product
cefuroxime+metronidazole	470528012	346365007	cefuroxime+metronidazole
cephalexin	91239010	54887004	cephalexin
cephalothin	62760010	37628007	cephalothin
cephamandole	1232236011	61651006	cephamandole
cephazolin	134523015	81088002	cephazolin
cephradine	28437013	16791000	cephradine
cephradine product	1221418015	16791000	cephradine product
ceratonia	461793017	317343005	ceratonia
chamomile extracts 10.5% ointment	468456017	331473003	chamomile extracts 10.5% ointment
chenic acid	147797018	89132005	chenic acid
chenodeoxycholic acid product	1235427016	89132005	chenodeoxycholic acid product
chinoform	381202013	255888000	chinoform
chloral hydrate product	463614013	321089003	chloral hydrate product
chloramiphene	1227251019	30466001	chloramiphene
chloramphenicol 0.25% eye drops	470923010	347110009	chloramphenicol 0.25% eye drops
chloramphenicol dtf 1% cream	468894012	332768006	chloramphenicol dtf 1% cream
chloramphenicol eye drops	467848011	330296005	chloramphenicol eye drops
chlormethiazole	472798012	354039005	chlormethiazole
chlorpheniramine	17372013	9944001	chlorpheniramine
chlorpheniramine maleate	142114013	85737002	chlorpheniramine maleate
chlorthalidone	96253011	57893000	chlorthalidone
cholestyramine	120960010	72824008	cholestyramine
cholestyramine product	1233543010	72824008	cholestyramine product
choline salicylate 8.7% oral gel	468332017	331177008	choline salicylate 8.7% oral gel
choline salicylate+glycerol 20%/12.6% ear drops	468243010	330979004	choline salicylate+glycerol 20%/12.6% ear drops
chologon	1231026014	51752005	chologon
chrysazin	1232740018	65884003	chrysazin
chymotrypsin product	1233321018	70841003	chymotrypsin product
ciclosporin product	2478861017	80906007	ciclosporin product
ciprofloxacin product	1233909014	7577004	ciprofloxacin product
citrate 6.5% preservative-free eye drops	470925015	347112001	citrate 6.5% preservative-free eye drops
citrovorum factor	3659019	1528001	citrovorum factor
clindamycin product	498278017	58883005	clindamycin product
clioquinol product	496475011	52896000	clioquinol product
clobetasol propionate+neomycin sulphate+nystatin	470534017	346373003	clobetasol propionate+neomycin sulphate+nystatin
clodronate disodium	159379013	96283003	clodronate disodium
clofazimine product	1233567019	72924009	clofazimine product
clomiphene	50986016	30466001	clomiphene
clomocycline sodium	465206014	324042001	clomocycline sodium
clonidine hydrochloride 25micrograms tablet	464625010	322840006	clonidine hydrochloride 25micrograms tablet
clorazepate dipotassium	131347010	79157008	clorazepate dipotassium
clotrimazole product	1231785015	5797005	clotrimazole product
co-beneldopa product	470539010	346376006	co-beneldopa product
co-dergocrine	472305015	350622001	co-dergocrine
co-magaldrox product	470545019	346381002	co-magaldrox product
co-zidocapt 25mg/12.5mg tablet	1488925016	395231002	co-zidocapt 25mg/12.5mg tablet
coal tar 4.3% shampoo	468879013	332723003	coal tar 4.3% shampoo
coal tar 40% bath emulsion	468648011	332088003	coal tar 40% bath emulsion
coal tar extract 2% shampoo	468872016	332715000	coal tar extract 2% shampoo
coal tar extract+allantoin 5%/2% cream	468654012	332096008	coal tar extract+allantoin 5%/2% cream
coal tar extract+allantoin 5%/2% lotion	468653018	332095007	coal tar extract+allantoin 5%/2% lotion
coal tar product	498824010	6071000	coal tar product
coal tar+lecithin 2.5/0.3% shampoo	468875019	332720000	coal tar+lecithin 2.5/0.3% shampoo
coal tar+lecithin 6/0.4% cream	468649015	332089006	coal tar+lecithin 6/0.4% cream
coc - combined oral contraceptives	470554016	346388008	coc - combined oral contraceptives
cod liver oil+zinc oxide 11.4/38% ointment	468455018	331469001	cod liver oil+zinc oxide 11.4/38% ointment
codeine linctus	472113013	350299006	codeine linctus
codeine phosphate+kaolin 10mg/3g/10ml mixture	461810011	317359005	codeine phosphate+kaolin 10mg/3g/10ml mixture
colestyramine product	2478821018	72824008	colestyramine product
colestyramine+aspartame 4g/sachet powder	462968010	319950008	colestyramine+aspartame 4g/sachet powder
colistin sulphate 1.5million units tablet	465305011	324308000	colistin sulphate 1.5million units tablet
colistin sulphate 250,000units/5ml syrup	465307015	324309008	colistin sulphate 250,000units/5ml syrup
colistin sulphate topical powder	468897017	332771003	colistin sulphate topical powder
collodion product	470552017	346387003	collodion product
combined oral contraceptive product	470553010	346388008	combined oral contraceptive product
compound sodium citrate enema	471761014	349815009	compound sodium citrate enema
compound tetracycline 300mg tablet	465204012	324036000	compound tetracycline 300mg tablet
compound thymol glycerin solution	468391014	331324008	compound thymol glycerin solution
cortisol product	477861012	16602005	cortisol product
cortisone product	1219601014	111150008	cortisone product
cough/decongestant preparation	471928010	349988003	cough/decongestant preparation
cpz - chlorpromazine	494803014	47331002	cpz - chlorpromazine
cromoglycate	492721018	40652001	cromoglycate
cromoglycic acid	492720017	40652001	cromoglycic acid
cromolyn sodium	67802018	40652001	cromolyn sodium
csa - cyclosporin a	380906013	255649004	csa - cyclosporin a
cya - cyclosporin	1234524017	80906007	cya - cyclosporin
cya - cyclosporin a	380905012	255649004	cya - cyclosporin a
cyanocobalamin product	1226731013	30010009	cyanocobalamin product
cyclonamine	462916015	319848004	cyclonamine
cyclosporin	380908014	255649004	cyclosporin
cyclosporin a	134204011	80906007	cyclosporin a
cyclosporin product	1234523011	80906007	cyclosporin product
cyproterone acetate+ethinylestradiol	470563019	346395004	cyproterone acetate+ethinylestradiol
cyproterone acetate+ethinyloestradiol	470562012	346395004	cyproterone acetate+ethinyloestradiol
cysteamine	173644010	109109007	cysteamine
danaparoid sodium	173528014	108993008	danaparoid sodium
danazol product	1235281016	87881000	danazol product
danthron	109427016	65884003	danthron
deltahydrocortisone	496303016	52388000	deltahydrocortisone
desmopressin product	502441015	73454001	desmopressin product
desoxymethasone	200944019	81457006	desoxymethasone
dexamethasone+hypromellose 0.1%/0.5% eye drops	467934010	330458007	dexamethasone+hypromellose 0.1%/0.5% eye drops
dexamethasone+tobramycin	216732011	136209004	dexamethasone+tobramycin
dexamphetamine	495808013	50868004	dexamphetamine
dextrolyte	472264016	350577002	dextrolyte
dextrose 40% oral gel	465794017	325309001	dextrose 40% oral gel
dextrose product	358959019	111138002	dextrose product
dextrothyroxine sodium	102888016	61899008	dextrothyroxine sodium
diacetylmorphine	101159017	60881009	diacetylmorphine
diazepam product	1230608017	48546005	diazepam product
dichlorphenamide	32975018	19583005	dichlorphenamide
diclofenac sodium+misoprostol	470566010	346398002	diclofenac sodium+misoprostol
dicyclomine	69216012	41493007	dicyclomine
dicyclomine hydrochloride	117988018	71043005	dicyclomine hydrochloride
dienoestrol	473633016	126169003	dienoestrol
digitalis	109269015	65774009	digitalis
digoxin product	1234380012	796001	digoxin product
dihydroergotamine	81448016	48875009	dihydroergotamine
dihydroergotamine mesylate	134264014	80939005	dihydroergotamine mesylate
dihydroxycholecalciferol	1233020011	68206008	dihydroxycholecalciferol
dihydroxyphenylisatin	1228693014	367345000	dihydroxyphenylisatin
dimethicone	129280011	77898008	dimethicone
dimethindene	43769012	26122009	dimethindene
dinoprostone product	494026015	44798001	dinoprostone product
dioctyl sodium sulphosuccinate	498721012	60382009	dioctyl sodium sulphosuccinate
dioralyte product	472265015	350578007	dioralyte product
diphenhydramine hydrochloride 2% cream	468512019	331636008	diphenhydramine hydrochloride 2% cream
diphenhydramine hydrochloride 6.25mg/5ml syrup	1485596019	391594004	diphenhydramine hydrochloride 6.25mg/5ml syrup
diphenhydramine product	483235014	26458009	diphenhydramine product
dipipanone+cyclizine 10mg/30mg tablet	464441019	322556006	dipipanone+cyclizine 10mg/30mg tablet
diprazinum	505745017	8372007	diprazinum
dipyridamole+aspirin	462893011	319796006	dipyridamole+aspirin
disodium azodisalicylic acid	1219418018	108673002	disodium azodisalicylic acid
disodium clodronate	1235968018	96283003	disodium clodronate
disodium cromoglycate	67803011	40652001	disodium cromoglycate
disodium enoxolone	1230746017	49617001	disodium enoxolone
disodium etidronate+calcium carbonate	470573017	346404007	disodium etidronate+calcium carbonate
disodium tiludronate	466123017	325978001	disodium tiludronate
